Taxón,PNS NIEVES,PNS NEVADA,PN DOÑANA,Recolectada en sierra nevada,rbcl,trnH,MatK,ITS
Especie Subespecie,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Eucalyptus camaldulensis,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Eucalyptus globulus,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Euphorbia characias,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Euphorbia characias characias,0,1,0,S,1,1,1,1
Euphorbia clementei clementei,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Euphorbia flavicoma,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Euphorbia flavicoma flavicoma,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Euphorbia nicaeensis nicaeensis,0,1,1,S,1,0,1,0
Euphorbia paralias,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Euphorbia serrata,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Euphorbia squamigera,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Fagonia cretica,0,1,0,S,1,1,0,0
Festuca scariosa,1,1,0,S,1,1,1,1
Ficus carica,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Flueggea tinctoria,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Frangula alnus alnus,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Frangula alnus baetica,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Frankenia boissieri,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Frankenia corymbosa,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Frankenia laevis,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Frankenia pulverulenta,0,1,1,N,#N/A,#N/A,#N/A,#N/A
Frankenia thymifolia.,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Fraxinus angustifolia,0,1,1,S,1,1,1,1
Fraxinus angustifolia angustifolia,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Fumana baetica,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Fumana ericifolia,1,1,0,S,1,1,1,1
Fumana ericoides,1,1,0,S,1,1,1,0
Fumana hispidula,0,1,0,S,1,1,1,Hongo
Fumana juniperina,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Fumana laevipes,1,1,1,N,#N/A,#N/A,#N/A,#N/A
Fumana paradoxa,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Fumana procumbens,0,1,0,S,1,1,1,1
Fumana thymifolia,1,1,1,S,1,1,1,1
Galium baeticum,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Galium boisseranum,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Galium boisserianum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Galium concatenatum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Galium ephedroides,0,1,0,S,1,1,1,1
Galium lucidum lucidum,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Galium moralesianum,0,1,0,S,1,1,1,1
Galium nevadense,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Galium pruinosum,0,1,0,S,1,1,1,1
Galium pulvinatum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Galium tunetanum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Galium verum,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Genista ancistrocarpa,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Genista cinerea,1,1,1,S,1,0,1,0
Genista florida,0,1,0,S,1,1,1,1
Genista hirsuta,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Genista hirsuta hirsuta,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Genista lanuginosa,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Genista longipes longipes,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Genista longipes viciosoi,1,1,0,N,#N/A,#N/A,#N/A,#N/A
Genista monspessulana,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Genista polyanthos,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Genista ramosissima,0,1,0,N,#N/A,#N/A,#N/A,#N/A
Genista scorpius,0,1,0,S,1,1,1,1
Genista spartioides,0,1,0,S,1,1,1,1
Genista triacanthos,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Genista triacanthos triacanthos,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Genista tridens juniperina,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Genista tridens tridens,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A
Genista umbellata,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A
Genista umbellata equisetiformis,0,1,0,S,1,1,1,1
